time,steps_j1,steps_j2,steps_j3,steps_j4,steps_j5,steps_j6
0.021016900000176975,0,0,-16,-1,4,1
0.020948600000338047,0,0,-16,-1,4,1
0.021440599999550614,0,0,-16,-1,4,1
0.021920500000305765,0,0,-16,-1,4,1
0.021026200000051176,0,0,-16,-1,4,1
0.0210322000002634,0,0,-16,-1,4,1
0.02295109999977285,0,0,-17,-1,4,1
0.02245779999975639,0,0,-17,-1,4,1
0.021497600000657258,0,0,-16,-1,4,1
0.02232099999946513,0,0,-17,-1,4,1
0.021531899999899906,0,0,-17,-1,4,1
0.02247669999997015,0,0,-17,-1,4,1
0.021958100000119884,0,0,-17,0,4,0
0.02144659999976284,0,0,-17,0,4,0
0.020987100000638748,0,0,-16,0,4,0
0.020951200000126846,0,0,-17,0,4,0
0.021967099999528727,0,0,-17,0,4,0
0.02155250000032538,0,0,-17,0,4,0
0.02086799999960931,0,0,-17,0,4,0
0.020915699999932258,0,0,-17,0,4,0
0.021602200000415905,0,1,-17,0,4,0
0.02157249999982014,0,1,-17,0,4,0
0.02077129999997851,0,1,-17,0,4,0
0.02099900000030175,0,1,-17,0,4,0
0.02242649999971036,0,1,-18,0,4,0
0.021464499999638065,0,1,-18,0,4,0
0.020959500000572007,0,1,-17,0,4,0
0.02126479999969888,0,1,-17,0,4,0
0.020770699999957287,0,1,-17,0,4,0
0.022903300000507443,0,1,-19,0,4,0
0.021493999999620428,0,1,-18,0,4,0
0.021934999999757565,0,1,-18,0,4,0
0.02098500000010972,0,1,-18,0,4,0
0.02194320000035077,0,1,-19,0,4,0
0.022035899999536923,0,1,-19,0,4,0
0.02283720000014,0,1,-20,0,4,0
0.021064100000330654,0,1,-18,0,4,0
0.02140979999967385,0,1,-18,0,4,0
0.021439799999825482,0,1,-19,0,4,0
0.02155899999979738,0,1,-19,0,4,0
0.022916500000064843,0,1,-20,0,4,0
0.021415300000626303,0,1,-19,0,4,0
0.02102980000017851,0,1,-18,0,4,0
0.021908499999881315,0,1,-20,0,4,0
0.021482099999957427,0,1,-19,0,4,0
0.021546500000113156,0,1,-20,0,4,0
0.021376499999860243,0,1,-20,0,4,0
0.021940399999948568,0,1,-20,0,4,0
0.0219928999995318,0,1,-20,0,4,0
0.020926700000018172,0,1,-19,0,4,0
0.02200360000006185,0,1,-20,0,4,0
0.022120100000392995,0,1,-20,0,4,0
0.02031859999988228,0,1,-19,0,4,0
0.022975099999712256,0,1,-21,0,4,0
0.020458699999835517,0,1,-19,0,4,0
0.021494200000233832,0,1,-20,0,4,0
0.021504999999706342,0,1,-20,0,4,0
0.021353600000111328,0,1,-20,0,4,0
0.022073300000556628,0,1,-21,0,4,0
0.020887499999844295,0,1,-20,0,4,0
0.02197249999971973,0,1,-21,0,4,0
0.0209394000003158,0,1,-20,0,4,0
0.02106420000018261,0,1,-20,0,4,0
0.021897399999943445,0,1,-21,0,4,0
0.021037299999989045,0,1,-21,0,4,0
0.021919400000115274,0,1,-22,0,4,0
0.022429099999499158,0,1,-22,0,4,0
0.021461700000145356,0,1,-21,0,4,0
